Code,Class,Description,Value in USD T,AAL in USD T,AAL as % of Total AAL,AAL as % of Value,Risk Rank,costMetro,costUrban,costRural
BZ,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,41821.98401,5.0582968,0.005729566,0.000120948,26,,,
BZ,avmS3,Steel light frame multi family,813.48946,0.0926677,0.000104965,0.000113914,35,,,
BZ,avsS3,Steel light frame single family,4045.14696,0.4525916,0.000512653,0.000111885,34,,,
BZ,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,107504.038,10.3630402,0.011738283,0.0000964,28,,,
BZ,avmW7,Wood braced frame with load-bearing infill wall system multi family,259.99734,0.0206537,0.0000234,0.0000794,30,,,
BZ,avcomoff,Commercial offices,340178.3208,25.1690627,0.028509161,0.000074,31,,,
BZ,avsW7,Wood braced frame with load-bearing infill wall system single family,5850.34037,0.4218874,0.000477875,0.0000721,32,,,
BZ,avcritica,"Critical buildings - schools, hospitals, medical centers",394140.8873,23.8426917,0.027006772,0.0000605,33,,,
BZ,avmW3,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - multi-family",8498.06262,0.3087716,0.000349748,0.0000363,36,,,
BZ,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,41627.63798,1.3684268,0.001550026,0.0000329,37,,,
BZ,avsW3,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - single-family",94164.04394,2.8661631,0.003246522,0.0000304,38,,,
BZ,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,260328.6427,7.2420388,0.008203104,0.0000278,39,,,
GD,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,21129.45463,50.499686,0.028819596,0.002390014,1,395,,
GD,avmUFB,Unreinforced Fire Brick masonry multi family,221.09297,0.511755685,0.000292053,0.002314663,2,405,,
GD,avmINF,Informal constructions multi family,50.2925,0.114811445,0.0000655,0.002282874,3,,,
GD,avsDS,Rectangular Cut stone masonry block - single-family,272.91315,0.523511775,0.000298762,0.001918236,4,,,
GD,avsRS,Rubble stone masonry - single-family,234.53464,0.449892383,0.000256748,0.001918234,5,,,
GD,avsUFB,Unreinforced Fire Brick masonry single family,1810.28477,3.434694533,0.001960141,0.001897323,6,360,,
GD,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,162510.837,303.5191677,0.173214936,0.001867686,7,355,,
GD,avsINF,Informal constructions single family,761.21214,1.406059578,0.000802422,0.001847132,8,,,
GD,avmCM,Confined masonry bearing walls - multi-family,26746.14509,44.40204213,0.02533974,0.001660129,9,500,,
GD,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,24606.45357,40.84987844,0.023312561,0.001660129,10,460,,
GD,avmUNKN,Unknown multi-family,2090.55636,3.349905083,0.001911753,0.001602399,11,,,
GD,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,192266.3423,247.3627625,0.141167114,0.001286563,12,420,,
GD,avsCM,Confined masonry bearing walls - single-family,205999.6526,265.0315309,0.151250479,0.001286563,13,450,,
GD,avsUNKN,Unknown single-family,2879.65705,3.64337544,0.002079233,0.001265212,14,,,
GD,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,2990.19652,2.839062535,0.001620221,0.000949457,15,520,,
GD,avcomret,Commercial retail,190253.7066,177.9660389,0.101563194,0.000935414,16,,,
GD,avindustr,General industrial,54364.0132,50.35291828,0.028735838,0.000926218,17,,,
GD,avcomm,Commercial or other types of warehouse,46470.44836,35.74063029,0.020396771,0.000769104,18,,,
GD,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,9598.58885,7.199087648,0.004108437,0.000750015,19,465,,
GD,avmC1,Ductile reinforced concrete moment frame - multi-family,3363.97082,2.069229018,0.001180885,0.000615115,20,,,
GD,avcomoff,Commercial offices,387093.4592,235.9372466,0.134646702,0.00060951,27,,,
GD,avmC6,Concrete moment resisting frame with shear wall - dual system - multi-family,3565.23403,1.713096985,0.000977645,0.000480501,21,620,,
GD,avmC2,Reinforced concrete shear walls - multi-family,3910.2568,1.878880548,0.001072256,0.000480501,22,,,
GD,avcritica,"Critical buildings - schools, hospitals, medical centers",319623.6785,152.9910055,0.087310226,0.00047866,29,,,
GD,avsC1,Ductile reinforced concrete moment frame - single-family,10940.32712,5.097761195,0.002909234,0.000465961,23,,,
GD,avsC2,Reinforced concrete shear walls - single-family,12591.69753,4.474022218,0.002553274,0.000355315,24,,,
GD,avsC6,Concrete moment resisting frame with shear wall - dual system - single-family,11662.80153,4.14397105,0.002364917,0.000355315,25,565,,
GD,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,7271.17935,1.977472708,0.001128521,0.00027196,26,,,
GD,avmW3,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - multi-family",3147.34068,0.85262363,0.000486583,0.000270903,35,,,
GD,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,216358.1968,52.08465123,0.029724118,0.000240733,34,,,
GD,avsW3,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - single-family",207170.0479,49.85225895,0.028450117,0.000240634,28,,,
JM,avmRM2,Reinforced masonry bearing walls with concrete diaphragms - multi-family,2837.671194,6.183102389,0.172015126,0.002178935,1,590,540,520
JM,avsDS,Rectangular Cut stone masonry block - single-family,43.94717513,0.080864767,0.002249674,0.001840045,2,,,
JM,avsUFB,Unreinforced Fire Brick masonry - single-family,48.81156026,0.08988147,0.00250052,0.001841397,3,,,
JM,avsRM2,Reinforced masonry bearing walls with concrete diaphragms - single-family,11257.29698,13.64520907,0.379612404,0.001212121,4,540,500,470
JM,avsUNKN,Unknown,289.4989597,0.356335671,0.009913329,0.00123087,5,,,
JM,avindustr,General industrial,1426.965525,1.578861696,0.043924243,0.001106447,6,,,
JM,avmPC2,Precast Concrete Frames with Concrete Shear Walls - multi-family,2050.685191,2.363571805,0.065755033,0.001152577,7,,,
JM,avcomret,Commercial retail,1686.571592,1.842905829,0.051270003,0.001092694,8,,,
JM,avmC3,Non ductile reinforced concrete frame with masonry infill walls - multi-family and/or concrete frame high rise,1085.546836,1.143842861,0.031821934,0.001053702,9,670,610,590
JM,avcomm,Commercial or other types of warehouse,1453.794944,1.126048086,0.03132688,0.000774558,10,,,
JM,avsPC2,Precast Concrete Frames with Concrete Shear Walls - single-family,1981.892544,1.46856501,0.040855768,0.000740991,11,,,
JM,avsC3,Non ductile reinforced concrete frame with masonry infill walls - single-family and/or concrete frame high rise,1040.019206,0.795250356,0.022124022,0.00076465,12,600,550,530
JM,avcomoff,Commercial offices,2125.558135,1.455259788,0.040485614,0.000684648,13,,,
JM,avmW7,Wood braced frame with load-bearing infill wall system - multi-family,264.4063927,0.19168509,0.005332717,0.000724964,14,530,490,460
JM,avsW7,Wood braced frame with load-bearing infill wall system - single-family,1753.577455,0.933486872,0.025969789,0.000532333,15,480,440,420
JM,avcritica,"Critical buildings - schools, hospitals, medical centers",3345.619933,1.721785402,0.047900409,0.000514639,16,,,
JM,avsW6,Wood unbraced heavy post and beam frame with mud or other infill material - single-family,96.35043773,0.037919244,0.001054921,0.000393555,17,,,
JM,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing - single-family,3625.134524,0.930533182,0.025887616,0.000256689,18,,,
SL,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,45245.62933,108.0635658,0.042136971,0.002388376,1,345,,
SL,avmUFB,Unreinforced Fire Brick masonry multi family,120.9359,0.287415463,0.000112071,0.002376593,2,350,,
SL,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,235555.2324,447.2526109,0.174396154,0.001898717,3,310,,
SL,avsUFB,Unreinforced Fire Brick masonry single family,1464.45898,2.777226173,0.001082917,0.001896418,4,315,,
SL,avsRS,Rubble stone masonry - single-family,812.62558,1.541060473,0.000600902,0.001896397,5,,,
SL,avsINF,Informal constructions single family,560.41378,1.062575858,0.000414328,0.001896056,6,,,
SL,avsDS,Rectangular Cut stone masonry block - single-family,898.42352,1.7027748,0.000663959,0.001895292,7,,,
SL,avmUNKN,Unknown multi-family,627.13464,1.05978204,0.000413238,0.00168988,8,,,
SL,avmCM,Confined masonry bearing walls - multi-family,56910.95556,95.54232452,0.037254593,0.001678804,9,435,,
SL,avmRM2,Reinforced masonry bearing walls with concrete diaphragms multi family,52331.91322,87.85501019,0.034257097,0.001678804,10,400,,
SL,avsUNKN,Unknown single-family,3184.08347,4.229466593,0.001649186,0.001328315,11,,,
SL,avsRM2,Reinforced masonry bearing walls with concrete diaphragms single family,274165.815,362.3768717,0.141300758,0.001321743,12,365,,
SL,avsCM,Confined masonry bearing walls - single-family,292944.2955,387.1972051,0.150978892,0.001321743,13,390,,
SL,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,4680.50505,4.50944827,0.001758359,0.000963453,14,450,,
SL,avcomret,Commercial retail,214896.259,206.5529612,0.080540708,0.000961175,15,,,
SL,avindustr,General industrial,64455.2413,61.84552466,0.024115279,0.000959511,16,,,
SL,avcomm,Commercial or other types of warehouse,65553.67951,52.72025848,0.020557086,0.00080423,17,,,
SL,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,17613.83412,13.55112502,0.005283958,0.000769346,18,405,,
SL,avmC1,Ductile reinforced concrete moment frame - multi-family,5304.57228,3.36563817,0.001312355,0.000634479,19,,,
SL,avcomoff,Commercial offices,495851.0103,314.531185,0.122644402,0.000634326,20,,,
SL,avcritica,"Critical buildings - schools, hospitals, medical centers",369865.1296,183.3628949,0.071498261,0.000495756,27,,,
SL,avmC6,Concrete moment resisting frame with shear wall - dual system - multi-family,5676.68252,2.813567188,0.001097088,0.000495636,21,540,,
SL,avmC2,Reinforced concrete shear walls - multi-family,6136.66218,3.041483883,0.001185959,0.000495625,22,,,
SL,avsC1,Ductile reinforced concrete moment frame - single-family,19404.40684,9.491385542,0.003700954,0.000489136,29,,,
SL,avsC2,Reinforced concrete shear walls - single-family,22126.26757,8.252941525,0.00321805,0.000372993,23,,,
SL,avsC6,Concrete moment resisting frame with shear wall - dual system - single-family,21310.56473,7.947982283,0.003099138,0.00037296,24,490,,
SL,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,32218.90301,9.612209967,0.003748066,0.000298341,25,,,
SL,avmW3,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - multi-family",5063.3209,1.509991658,0.000588787,0.000298222,26,,,
SL,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,474525.5148,126.8952199,0.049479953,0.000267415,35,,,
SL,avsW3,"Wood frame, prefabricated steel stud panels, wood or stucco exterior walls - single-family",200565.6107,53.62669502,0.020910531,0.000267377,34,,,
PA,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",120.528005,0.596409694,0.020217413,0.004948308,1,170,155,145
PA,avsA5,"Adobe block, mud mortar, with bamboo or rope reinforcement single family",72.911015,0.349280597,0.011840099,0.004790505,2,,,
PA,avsINF,Informal constructions single family,1.89511,0.008792227,0.000298044,0.004639428,3,,,
PA,avsRS,Rubble Stone masonry single family,817.331926,1.684066169,0.05708737,0.002060443,4,,,
PA,avsUFB,Unreinforced Fire Brick masonry single family,6405.746743,8.176108168,0.277158061,0.001276371,5,270,245,240
PA,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,5329.628071,6.378276934,0.216214222,0.001196758,6,250,225,215
PA,avsDS,Rectangular Cut stone masonry block single family,1803.817795,1.84435607,0.062520962,0.001022474,7,,,
PA,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,2326.986918,2.356151747,0.079870084,0.001012533,8,,,
PA,avmUFB,Unreinforced Fire Brick masonry multi family,770.34579,0.770163448,0.02610741,0.000999763,9,,,
PA,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,2430.568903,1.782883988,0.060437149,0.000733525,10,,,
PA,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,95.882061,0.050132985,0.001699435,0.000522861,11,,,
PA,avsW4,Wood panel or log construction single family,633.111078,0.244399201,0.008284774,0.000386029,12,,,
PA,avcomm,Commercial or other types of warehouse,1905.181238,0.498556677,0.016900339,0.000261685,13,,,
PA,avcomret,Commercial retail,1742.865396,0.375662268,0.012734399,0.000215543,14,,,
PA,avcritica,"Critical buildings - schools, hospitals, medical centers",5033.094868,1.072936263,0.036370964,0.000213176,15,,,
PA,avcomoff,Commercial offices,8040.475936,1.670542924,0.056628952,0.000207767,16,,,
PA,avindustr,General industrial,3666.716217,0.759843568,0.025757581,0.000207227,17,,,
PA,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,555.181371,0.107597357,0.003647392,0.000193806,18,,,
PA,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,4100.576896,0.7736426,0.026225348,0.000188667,19,,,
PA-1,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",5,0.02,0.0323,0.00399,1,170,155,145
PA-1,avsA5,"Adobe block, mud mortar, with bamboo or rope reinforcement single family",3,0.01,0.0186,0.00398,2,,,
PA-1,avsINF,Informal constructions single family,0,0,0.0005,0.00474,3,,,
PA-1,avsRS,Rubble Stone masonry single family,36,0.05,0.0864,0.00151,4,,,
PA-1,avsUFB,Unreinforced Fire Brick masonry single family,127,0.18,0.2863,0.0014,5,270,245,240
PA-1,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,90,0.13,0.2098,0.00144,6,250,225,215
PA-1,avsDS,Rectangular Cut stone masonry block single family,23,0.03,0.0497,0.00134,7,,,
PA-1,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,25,0.03,0.0542,0.00135,8,,,
PA-1,avmUFB,Unreinforced Fire Brick masonry multi family,6,0.01,0.0141,0.00136,9,,,
PA-1,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,86,0.06,0.0931,0.00067,10,,,
PA-1,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,1,0,0.0012,0.00066,11,,,
PA-1,avsW4,Wood panel or log construction single family,28,0.01,0.0139,0.00031,12,,,
PA-1,avcomm,Commercial or other types of warehouse,46,0.02,0.032,0.00044,13,,,
PA-1,avcomret,Commercial retail,13,0.01,0.0093,0.00044,14,,,
PA-1,avcritica,"Critical buildings - schools, hospitals, medical centers",37,0.02,0.0256,0.00043,15,,,
PA-1,avcomoff,Commercial offices,45,0.02,0.0312,0.00043,16,,,
PA-1,avindustr,General industrial,67,0.02,0.0388,0.00036,17,,,
PA-1,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,3,0,0.0012,0.00026,18,,,
PA-1,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,5,0,0.002,0.00026,19,,,
PA-4,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",28,0.18,0.0277,0.00662,1,170,155,145
PA-4,avsA5,"Adobe block, mud mortar, with bamboo or rope reinforcement single family",16,0.11,0.0162,0.0066,2,,,
PA-4,avsINF,Informal constructions single family,0,0,0.0004,0.00659,3,,,
PA-4,avsRS,Rubble Stone masonry single family,194,0.53,0.0799,0.00274,4,,,
PA-4,avsUFB,Unreinforced Fire Brick masonry single family,804,2.05,0.3094,0.00255,5,270,245,240
PA-4,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,585,1.47,0.2216,0.00252,6,250,225,215
PA-4,avsDS,Rectangular Cut stone masonry block single family,171,0.41,0.0618,0.0024,7,,,
PA-4,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,180,0.43,0.064,0.00236,8,,,
PA-4,avmUFB,Unreinforced Fire Brick masonry multi family,46,0.11,0.0168,0.00244,9,,,
PA-4,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,490,0.5,0.0754,0.00102,10,,,
PA-4,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,8,0.01,0.0012,0.00102,11,,,
PA-4,avsW4,Wood panel or log construction single family,150,0.07,0.011,0.00049,12,,,
PA-4,avcomm,Commercial or other types of warehouse,269,0.11,0.017,0.00042,13,,,
PA-4,avcomret,Commercial retail,138,0.06,0.0086,0.00041,14,,,
PA-4,avcritica,"Critical buildings - schools, hospitals, medical centers",384,0.16,0.0239,0.00041,15,,,
PA-4,avcomoff,Commercial offices,578,0.23,0.0349,0.0004,16,,,
PA-4,avindustr,General industrial,508,0.18,0.0269,0.00035,17,,,
PA-4,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,22,0.01,0.0013,0.00041,18,,,
PA-4,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,36,0.01,0.0021,0.0004,19,,,
PA-2,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",10,0.04,0.036,0.00432,1,170,155,145
PA-2,avsA5,"Adobe block, mud mortar, with bamboo or rope reinforcement single family",6,0.03,0.0205,0.0042,2,,,
PA-2,avsINF,Informal constructions single family,0,0,0.0005,0.00379,3,,,
PA-2,avsRS,Rubble Stone masonry single family,72,0.13,0.1028,0.00176,4,,,
PA-2,avsUFB,Unreinforced Fire Brick masonry single family,290,0.35,0.2801,0.00119,5,270,245,240
PA-2,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,210,0.22,0.1765,0.00104,6,250,225,215
PA-2,avsDS,Rectangular Cut stone masonry block single family,60,0.04,0.0364,0.00075,7,,,
PA-2,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,63,0.05,0.0375,0.00073,8,,,
PA-2,avmUFB,Unreinforced Fire Brick masonry multi family,16,0.01,0.0106,0.00081,9,,,
PA-2,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,180,0.12,0.0987,0.00068,10,,,
PA-2,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,3,0,0.001,0.00044,11,,,
PA-2,avsW4,Wood panel or log construction single family,56,0.02,0.0157,0.00035,12,,,
PA-2,avcomm,Commercial or other types of warehouse,146,0.04,0.036,0.0003,13,,,
PA-2,avcomret,Commercial retail,66,0.02,0.013,0.00024,14,,,
PA-2,avcritica,"Critical buildings - schools, hospitals, medical centers",183,0.04,0.0361,0.00024,15,,,
PA-2,avcomoff,Commercial offices,266,0.06,0.0486,0.00023,16,,,
PA-2,avindustr,General industrial,259,0.06,0.0478,0.00023,17,,,
PA-2,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,8,0,0.0009,0.00014,18,,,
PA-2,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,12,0,0.0014,0.00014,19,,,
PA-3,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",9,0.04,0.0179,0.00395,1,170,155,145
PA-3,avsA5,"Adobe block, mud mortar, with bamboo or rope reinforcement single family",6,0.02,0.0111,0.00384,2,,,
PA-3,avsINF,Informal constructions single family,0,0,0.0003,0.00362,3,,,
PA-3,avsRS,Rubble Stone masonry single family,56,0.09,0.0459,0.00165,4,,,
PA-3,avsUFB,Unreinforced Fire Brick masonry single family,516,0.59,0.2942,0.00114,5,270,245,240
PA-3,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,403,0.44,0.219,0.00109,6,250,225,215
PA-3,avsDS,Rectangular Cut stone masonry block single family,164,0.17,0.0826,0.00101,7,,,
PA-3,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,164,0.17,0.0835,0.00102,8,,,
PA-3,avmUFB,Unreinforced Fire Brick masonry multi family,39,0.04,0.0205,0.00104,9,,,
PA-3,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,196,0.12,0.0601,0.00062,10,,,
PA-3,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,6,0,0.0016,0.00052,11,,,
PA-3,avsW4,Wood panel or log construction single family,43,0.01,0.007,0.00033,12,,,
PA-3,avcomm,Commercial or other types of warehouse,141,0.03,0.0168,0.00024,13,,,
PA-3,avcomret,Commercial retail,114,0.02,0.0124,0.00022,14,,,
PA-3,avcritica,"Critical buildings - schools, hospitals, medical centers",316,0.07,0.0341,0.00022,15,,,
PA-3,avcomoff,Commercial offices,519,0.11,0.0553,0.00021,16,,,
PA-3,avindustr,General industrial,346,0.06,0.0321,0.00019,17,,,
PA-3,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,21,0,0.0021,0.0002,18,,,
PA-3,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,34,0.01,0.0035,0.00021,19,,,
PA-5,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",3,0.02,0.0533,0.00478,1,170,155,145
PA-5,avsA5,"Adobe block, mud mortar, with bamboo or rope reinforcement single family",2,0.01,0.0299,0.00482,2,,,
PA-5,avsINF,Informal constructions single family,0,0,0.0007,0.0048,3,,,
PA-5,avsRS,Rubble Stone masonry single family,24,0.05,0.1658,0.00201,4,,,
PA-5,avsUFB,Unreinforced Fire Brick masonry single family,47,0.09,0.3259,0.00201,5,270,245,240
PA-5,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,29,0.06,0.1968,0.00196,6,250,225,215
PA-5,avsDS,Rectangular Cut stone masonry block single family,0,0,0,#DIV/0!,7,,,
PA-5,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,2,0,0.0115,0.00197,8,,,
PA-5,avmUFB,Unreinforced Fire Brick masonry multi family,1,0,0.0054,0.00201,9,,,
PA-5,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,50,0.04,0.143,0.00082,10,,,
PA-5,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,0,0,0.0006,0.00083,11,,,
PA-5,avsW4,Wood panel or log construction single family,18,0.01,0.0248,0.00039,12,,,
PA-5,avcomm,Commercial or other types of warehouse,9,0,0.0099,0.00032,13,,,
PA-5,avcomret,Commercial retail,3,0,0.0029,0.00032,14,,,
PA-5,avcritica,"Critical buildings - schools, hospitals, medical centers",7,0,0.0079,0.00031,15,,,
PA-5,avcomoff,Commercial offices,9,0,0.0096,0.00031,16,,,
PA-5,avindustr,General industrial,13,0,0.012,0.00026,17,,,
PA-5,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,0,0,0,#DIV/0!,18,,,
PA-5,avmC3,Non ductile reinforced concrete frame with masonry infill walls multi family and/or concrete frame high rise,0,0,0,#DIV/0!,19,,,
PA-EM,avsA1,"Adobe block, mud mortar, wood
roof and floors single family",0,0,0.0569,0.00436,1,170,155,145
PA-EM,avsA5,"Adobe block, mud mortar, with bamboo or rope reinforcement single family",0,0,0.031,0.00427,2,,,
PA-EM,avsINF,Informal constructions single family,0,0,0.0007,0.00424,3,,,
PA-EM,avsRS,Rubble Stone masonry single family,3,0,0.1585,0.00164,4,,,
PA-EM,avsUFB,Unreinforced Fire Brick masonry single family,5,0.01,0.3352,0.00176,5,270,245,240
PA-EM,avsUCB,Unreinforced Concrete Block masonry with lime or mortar single family,3,0.01,0.2363,0.00201,6,250,225,215
PA-EM,avsDS,Rectangular Cut stone masonry block single family,0,0,0,#DIV/0!,7,,,
PA-EM,avmUCB,Unreinforced Concrete Block masonry with lime or mortar multi family,0,0,0.0133,0.00194,8,,,
PA-EM,avmUFB,Unreinforced Fire Brick masonry multi family,0,0,0.0056,0.00176,9,,,
PA-EM,avsW1,Wood stud-wall frame with plywood/gypsum board sheathing single family,6,0,0.1376,0.00068,10,,,
PA-EM,avmW1,Wood stud-wall frame with plywood/gypsum board sheathing multi family,0,0,0.0006,0.00069,11,,,
PA-EM,avsW4,Wood panel or log construction single family,2,0,0.0243,0.00033,12,,,
PA-EM,avcomm,Commercial or other types of warehouse,0,0,0,#DIV/0!,13,,,
PA-EM,avcomret,Commercial retail,0,0,0,#DIV/0!,14,,,
PA-EM,avcritica,"Critical buildings - schools, hospitals, medical centers",0,0,0,#DIV/0!,15,,,
PA-EM,avcomoff,Commercial offices,0,0,0,#DIV/0!,16,,,
PA-EM,avindustr,General industrial,0,0,0,#DIV/0!,17,,,
PA-EM,avsC3,Non ductile reinforced concrete frame with masonry infill walls single family and/or concrete frame high rise,0,0,0,#DIV/0!,18,,,
